keys,en_US,fr_FR
--UI text--,,
ui_press_start,"Press Start","Appuyez sur Start"
ui_replay,"Replay","Rejouer"
ui_skip,"Skip","Passer"
ui_yes,"Yes","Oui"
ui_no,"No","Non"
ui_load_saved_data,"Load saved data?","Charger les données sauvegardées ?"
ui_cancel,"Cancel","Annuler"
ui_drop,"Drop","Jeter"
ui_use,"Use","Utiliser"
ui_other,"Other","Autre"
ui_take_item,"[Take item]","[Prendre l'objet]"
ui_push,"[Push]","[Pousser]"
ui_back,"Back","Retour"
ui_control,"Control","Contrôles"
ui_resume,"Resume","Reprendre"
ui_title_screen,"Title Screen","Ecran titre"
ui_paused,"Paused","En pause"
ui_press_start_1p, "Press start 1P","Appuyez sur start 1P"
ui_press_start_2p, "Press start 2P","Appuyez sur start 2P"
ui_unplug_warning, "Don't unplug the controller mid-game. Reassign it in this menu if needed.","Ne débranchez pas la manette en plein jeu. Réassignez-la dans ce menu si besoin."
--Language--,,
en,"English","Anglais"
fr,"French","Français"
--Settings--,,
st_language,"Language","Langue"
st_textspd,"Text Speed","Vitesse du texte"
st_volume,"Volume","Volume"
vl_slow,"Slow","Lent"
vl_medium,"Medium","Moyen"
vl_fast,"Fast","Rapide"
--Main menu--,,
ui_play,"Play","Jouer"
ui_options,"Options","Options"
ui_credits,"Credits","Crédits"
ui_exit,"Exit","Quitter"
autosave_aware,"This game uses an an autosave feature, do not turn off the system when this icon is displayed.","Ce jeu utilise une fonction de sauvegarde automatique. N'éteignez pas la console lorsque cette icône s'affiche."
--Controls--,,
move_button,"D-Pad/Keyboard Arrows","Croix directionnelle/Flèches du clavier"
confirm_button,"Keyboard Z/Sony Circle/Xbox B","Clavier Z/Cercle Sony/Xbox B"
cancel_button,"Keyboard X/Sony X/Xbox A","Clavier X/Croix Sony/Xbox A"
move_button_info,"Use to move around.","Utiliser pour se déplacer."
confirm_button_info,"Use to interact, advance dialogue, or as a confirm button.","Utiliser pour interagir, faire défiler le dialogue ou confirmer."
cancel_button_info,"Use as a cancel/close button.","Utiliser comme bouton d'annulation ou pour fermer."
--Inventory--,,
ui_inventory_cannot_drop,"Can't drop here","Impossible de jeter ça ici"
ui_inventory_max,"Inventory maxed","Inventaire plein"
ui_nothing_happened,"Nothing happened","Rien ne se passe"
ui_narator,"[Story]","Histoire"
ui_worker,"Worker","Employé"
ui_man,"Man","Homme"
ui_girl,"Girl","Femme"
ui_bartender,"Bartender","Barman"
ui_bored_man,"Bored man","Homme qui s'ennuie"
ui_object,"[Object]","Objet"
ui_go,"Enter","Entrer"
--LOCATION_CHARACTER_SITUATION/ID--,,
--Item--,,
item_id_card,"Key card","Carte d'accès"
item_lab_liquid,"Lab liquid","Tube à essai"
item_battery,"Battery","Batterie"
item_vaccine,"Vaccine","Vaccin"
item_baseball_bat,"Baseball bat","Batte de baseball"
item_gas,"Gasoline","Essence"
item_flint,"Lighter","Briquet"
item_scope,"Shovel","Pelle"
item_metal_finder,"Metal finder","Détecteur de métaux"
item_green_liquid,"Green liquid","Liquide vert"
item_green_crystal,"Green crystal","Cristal vert"
item_ring,"Ring","Bague"
