keys,en_US,fr_FR
ui_select_level,"Select Level","Sélectionner le niveau"
level_1,"Level 1","Niveau 1"
level_2,"Level 2","Niveau 2"
level_3,"Level 3","Niveau 3"
level_4,"Level 4","Niveau 4"
level_5,"Level 5","Niveau 5"
chloe_puzzle_hint00,"You might want to check this","Tu devrais peut-être vérifier ça"
lv3_fred_hint,"But I have this for you!","Mais je peux te donner ça !"
found_shovel,"Found [Shovel].","Pelle trouvée."
wrong_metal,"Not this. Let's search elsewhere.","Pas le bon objet, cherchons ailleurs."
lv5_bark00,"Have you seen my dino? Bad dino.","As-tu vu mon dino ? C'est un méchant dino."
lv5_bark01,"I'm hiding from the boss.","Je me cache du patron."
lv5_sign,"Hanakapi'ai Beach.","Plage de Hanakapi'ai."
blank_paper,"It's blank paper...","C'est du papier blanc..."
name_dino,"Dino","Dino"
name_sign,"--Sign--","--Panneau--"
chloe_sleep00,"She's asleep now. I better find the ring fast.","Elle dort maintenant. Je ferais mieux de trouver la bague rapidement."
chloe_sleep01,"Hey, Chloe! Wake up. Come see this part of the beach with me!","Hé, Chloe ! Réveille-toi. Viens voir cette partie de la plage avec moi !"
item_watering_can,"Watering can","Arrosoir"
item_flower,"Flower","Fleur"
item_drawing,"Drawing","Dessin"
got_drawing,"Got [Drawing].","Obtenu [Dessin]"
got_baseball_bat,"Got [Baseball Bat].","Obtenu [Batte de baseball]"
got_flint,"Got [Lighter].","Obtenu [Briquet]"
got_water,"Got [Watering can].","Obtenu [Arrosoir]"
got_flower,"Got [Flower].","Obtenue [Fleur]"
got_gasoline,"Got [Gasoline].","Obtenu [Essence]"
prompt_help,"Help?","Aide?"
lv3_extra_01,"Hi!","Salut!"
lv3_extra_02,"I've been practicing drawing lately...","Je me suis entrainé au dessin ces derniers temps..."
lv3_extra_03,"And I finally managed to create one beautiful masterpiece.","Et j'ai finalement réussi à créer un superbe chef-œuvre."
lv3_extra_04,"But I lost it while I was playing with Blue.","Mais je l'ai perdu alors que je jouais avec Blue."
lv3_extra_05,"I have no idea where it is...","Je n'ai aucune d'idée d'où il pourrait être..."
lv3_extra_11,"Yes, I played with Red yesterday.","Oui, j'ai joué avec Red hier."
lv3_extra_12,"Red's drawing? You mean this one?","Le dessin de Red ? Tu veux dire celui-là ?"
lv3_extra_13,"Oh, he left this here yesterday...","Oh, il l'a laissé ici hier..."
lv3_extra_14,"Perhaps you can return it for me?","Peut-être que tu peux lui rendre pour moi ?"
lv3_extra_21,"Oh my masterpiece!!","Oh mon chef d'œuvre !!"
lv3_extra_22,"Thank you so much for finding it!","Merci beaucoup de l'avoir retrouvé!"
lv3_extra_23,"You wanna see it? Be careful though, this beauty might move you to tears.","Tu veux le voir ? Fais attention en revanche, cette merveille pourrait t'émouvoir aux larmes."
lv3_extra_24,"So, what do you think? After many attempts, this piece is finally done!","Alors t'en dis quoi ? Après de nombreux essais, cette œuvre est finalement terminée!"
lv3_extra_25,"I can't wait to show it to her!","J'ai hâte de lui montrer !"
lv3_extra_26,"As a return, I'll give you this...","En échange, je vais te donner ça..."
lv3_extra_31,"There's a girl I would like to meet...","Il y a une fille que j'aimerais rencontrer..."
lv3_extra_32,"But I just don't have enough confidence.","Mais je manque de confiance en moi."
lv3_extra_33,"Am I missing something?","Est-ce qu'il me manque quelque chose?"
lv3_extra_34,"Oh you're giving it to me?","Oh tu me la donnes ?"
lv3_extra_35,"I think bringing a flower will boost my confidence.","Je crois qu'apporter une fleur va booster ma confiance en moi."
lv3_extra_36,"Thank you! Here, make good a good use of this.","Merci ! Tiens, fais bon usage de ça."
lv3_extra_42,"Can you help me water the flowers around here?","Peux-tu m'aider à arroser les fleurs par ici?"
lv3_extra_43,"I don't feel well today...","Je ne me sens pas très bien aujourd'hui..."
lv3_extra_44,"That is so kind of you!","C'est si gentil de ta part !"
lv3_extra_45,"Have you watered all the flowers?","As-tu arrosé toutes les fleurs ?"
lv3_extra_50,"Oh, you've watered them all?","Oh, tu les as toutes arrosées ?"
lv3_extra_51,"Thank you! I'll give you this.","Merci ! Prends ça en remerciement"
lv3_extra_52,"Oh wait, you're a beautiful person.","Oh attends, tu es une belle personne."
lv3_extra_53,"You deserve this beautiful flower.","Tu mérites cette jolie fleur."
lv3_extra_60,"Here goes some water!","Voilà de l'eau !"
lv3_extra_61,"That should be all.","Ca devrait être tout"
lv3_extra_62,"A flower.","Une fleur."

UI_CLOSE_DESKTOP,"[X] close",""
UI_CLOSE_MOBILE,"[B] close",""

ui_close,"Close","Fermer"
ui_reset_box,"Reset Position","Réinitialiser la position"
ui_retry,"Retry","Réessayer"
