keys,en_US,fr_FR
no_desc,"No description.","Aucune description"
got_item,"Got item!","Objet obtenu !"
interact_empty,"No problem here.","Aucun problème ici"
lv1_happy_couple_01,"We've just matched today. I'm really happy to meet him. Though, I'm still a bit shy.","Nous venons de matcher. Je suis vraiment contente de le rencontrer. Cela dit, je suis un peu timide..."
lv1_happy_couple_02,"We're planning to get to know each other.","Nous prévoyons d'apprendre à nous connaître"
lv1_locked_door,"It's locked...","C'est fermé à clé"
lv1_hoverboard_00,"I can make use of this hoverboard.","Cet hoverboard pourrait m'être utile."
lv1_worker_01,"You wouldn't happen to be looking for a phone number, would you?","Vous seriez pas à la recherche d'un numéro de téléphone, si ?"
lv1_worker_02,"Well, sorry to say I've run out of those, last worker that has a few just left.","Eh bien désolé, je n'en ai plus en stock… Le dernier employé a en avoir encore vient tout juste de partir..."
lv1_worker_03,"Unless you go after him, you'll have to wait until tomorrow.","A moins que vous ne le rattrapiez, il vous faudra attendre jusqu'à demain."
lv1_worker_chloe_warehouse_key00,"You wouldn't happen to be looking for a phone number, would you?","Vous ne seriez pas à la recherche d'un numéro de téléphone?"
lv1_worker_chloe_warehouse_key01,"Well, sorry, I've run out of those. You might check the warehouse.","Eh bien désolé, je n'en ai plus en stock… Essayez peut-être de jeter un œil à l'entrepôt ?"
lv1_hoverboard_owner_see_hoverboard_01,"Would you look at this splendid looking hoverboard of mine?","Voulez-vous regardez ce splendide hoverboard qui m'appartient ?"
lv1_hoverboard_owner_see_hoverboard_02,"If you need to go somewhere far, or going after someone, welp...","Si vous avez besoin d'aller loin, ou de rattraper quelqu'un par exemple..."
lv1_hoverboard_owner_see_hoverboard_03,"You might be needing this.","Vous pourriez avoir besoin de ça."
lv1_hoverboard_owner_see_hoverboard_04,"Unfortunately, mine's currently out of energy...","Malheureusement, mon hoverboard n'a actuellement plus d'énergie..."
lv1_hoverboard_owner_see_hoverboard_05,"I'll let you borrow it if you can bring me the energy.","Je vous laisserai l'emprunter si vous m'apportez l'énergie nécessaire."
lv1_hoverboard_owner_see_hoverboard_06,"I've heard there's some in the cave?","Je crois qu'on peut en trouver dans la grotte ?"
lv1_hoverboard_owner_see_hoverboard_07,"Have you checked the cave ?","Avez-vous vérifié la grotte ?"
lv1_npc_info_giver_01,"Welcome to the world of Happn !","Bienvenue dans le monde d'Happn !"
lv1_npc_info_giver_02,"Here in this world, you can get your very own soulmate...","Ici, vous pouvez obtenir votre propre âme sœur..."
lv1_npc_info_giver_03,"Or perhaps, ""FIND"" yours.","Ou peut-être, "TROUVER" la vôtre."
lv1_npc_info_giver_04,"To meet someone, get a phone number and insert into that machine over there.","Pour rencontrer quelqu'un, obtenez un numéro et insérez-le dans cette machine là-bas."
lv1_npc_info_giver_05,"It'll bring you to the number's owner.","Elle vous emmènera à son ou sa propriétaire"
lv1_npc_info_giver_06,"Good luck on your love journey! May you find the true soulmate of yours.","Bonne chance dans votre odyssée de l'amour ! Puissiez vous trouver votre véritable âme sœur !"
lv1_hapn_logo_interact_00,"A Happn logo.","Un logo Happn"
lv1_machine_number_00,"It seems that I need someone's number to use this machine.","Il semble que j'aie besoin du numéro de quelqu'un pour utiliser cette machine."
lv1_machine_number_01,"I wonder who I'm going to meet.","Je me demande qui je vais rencontrer."
lv1_sign,"Sign","Panneau"
lv1_cave_sign_00,"Cave up ahead.","Grotte droit devant"
lv1_cave_chest_closed_00,"What could be inside this chest?","Que pourrait-il y avoir dans ce coffre ?"
lv1_cave_chest_opened_00,"Found [Green crystal].","Trouvé [Cristal vert]"
lv1_cave_chest_opened_01,"Oh, there's some paper on top of it.","Oh, il y a un papier là-dessus."
lv1_cave_puzzle_wrong_00,"Nothing happened. It seems it was the wrong sequence.","Rien ne se passe. Il semble que ce n'était pas la bonne séquence."
lv1_prompt_energy_source_place_energy,"Place the energy source?","Mettre la source d'énergie?"
lv1_energy_source_inspect_00,"I think I can fit some diamond like shape into that hollow middle part.","Il y a une partie creuse en forme de diamant au centre."
lv1_energy_source_inspect_01,"Think I could place that green like object in that hollow middle part?","Tu penses que je pourrais placer cet objet de type vert dans cette partie centrale creuse ?"
lv1_energy_source_get_00,"Energy source acquired!","Source d'énergie chargée !"
lv_1_prompt_give_energy,"Give the energy?","Donner l'énergie ?"
lv1_hoverboard_owner_energy_acquired_00,"Wow, you've got the energy!","Waouh, tu as trouvé de l'énergie !"
